条件キー,上がり重み,差し重み,先行重み,逃げ重み,追込重み,騎手重み,距離重み,回り重み,安定重み,血統重み,調教師重み
東京芝1000,25,15,30,20,10,20,15,15,10,5,5
東京芝1150,25,15,30,20,10,20,15,15,10,5,5
東京芝1200,25,15,30,20,10,20,15,15,10,5,5
東京芝1300,30,20,20,10,15,25,15,15,10,6,6
東京芝1400,30,20,20,10,15,25,15,15,10,2,6
東京芝1500,35,25,20,10,10,25,20,20,10,8,6
東京芝1600,35,25,20,10,10,25,20,20,10,8,6
東京芝1700,35,25,20,10,10,25,20,20,10,8,6
東京芝1800,35,25,20,10,10,25,16,16,6,8,6
東京芝1900,30,20,25,10,10,25,22,20,15,10,8
東京芝2000,30,20,25,10,10,25,22,20,15,10,8
東京芝2100,30,20,25,10,10,25,22,20,15,10,8
東京芝2200,30,20,25,10,10,25,22,20,15,10,8
東京芝2400,28,20,25,10,15,25,25,20,15,12,9
東京芝2500,28,20,25,10,15,25,25,20,15,12,9
東京芝2600,28,20,25,10,15,25,25,20,15,12,9
東京芝3000,20,18,20,5,25,18,35,20,25,15,10
東京芝3200,20,18,20,5,25,18,35,20,25,15,10
東京ダ1000,10,5,35,35,5,15,20,15,10,3,5
東京ダ1150,10,5,35,35,5,15,20,15,10,3,5
東京ダ1200,10,5,35,35,5,15,20,15,10,3,5
東京ダ1300,10,5,35,35,5,15,20,15,10,3,5
東京ダ1400,15,10,30,25,10,20,20,15,10,4,6
東京ダ1500,15,10,30,25,10,20,20,15,10,4,6
東京ダ1600,15,10,30,25,10,20,20,15,10,4,6
東京ダ1700,20,10,30,25,10,20,20,15,15,6,7
東京ダ1800,20,10,30,25,10,20,20,15,15,6,7
東京ダ1900,20,10,30,25,10,20,20,15,15,6,7
東京ダ2000,18,12,28,22,10,20,25,15,15,7,8
東京ダ2100,18,12,28,22,10,20,25,15,15,7,8
東京ダ2200,18,12,28,22,10,20,25,15,15,7,8
東京ダ2400,15,15,25,10,20,18,35,15,20,8,9
東京ダ2500,15,15,25,10,20,18,35,15,20,8,9
東京ダ2600,15,15,25,10,20,18,35,15,20,8,9
東京ダ3000,15,15,25,10,20,18,35,15,20,8,9
東京ダ3200,15,15,25,10,20,18,35,15,20,8,9
中山芝1000,25,15,30,20,10,20,15,15,10,5,5
中山芝1150,25,15,30,20,10,20,15,15,10,5,5
中山芝1200,25,15,30,20,10,20,15,15,10,5,5
中山芝1300,30,20,20,10,15,25,15,15,10,6,6
中山芝1400,30,20,20,10,15,25,15,15,10,6,6
中山芝1500,35,25,20,10,10,25,20,20,10,8,6
中山芝1600,35,25,20,10,10,25,20,20,10,8,6
中山芝1700,35,25,20,10,10,25,20,20,10,8,6
中山芝1800,35,25,20,10,10,25,20,20,10,8,6
中山芝1900,30,20,25,10,10,25,22,20,15,10,8
中山芝2000,30,20,25,10,10,25,22,20,15,10,8
中山芝2100,30,20,25,10,10,25,22,20,15,10,8
中山芝2200,30,20,25,10,10,25,22,20,15,10,8
中山芝2400,28,20,25,10,15,25,25,20,15,12,9
中山芝2500,28,20,25,10,15,25,25,20,15,12,9
中山芝2600,28,20,25,10,15,25,25,20,15,12,9
中山芝3000,20,18,20,5,25,18,35,20,25,15,10
中山芝3200,20,18,20,5,25,18,35,20,25,15,10
中山ダ1000,10,5,35,35,5,15,20,15,10,3,5
中山ダ1150,10,5,35,35,5,15,20,15,10,3,5
中山ダ1200,10,5,35,35,5,15,20,15,10,3,5
中山ダ1300,10,5,35,35,5,15,20,15,10,3,5
中山ダ1400,15,10,30,25,10,20,20,15,10,4,6
中山ダ1500,15,10,30,25,10,20,20,15,10,4,6
中山ダ1600,15,10,30,25,10,20,20,15,10,4,6
中山ダ1700,20,10,30,25,10,20,20,15,15,6,7
中山ダ1800,20,10,30,25,10,20,20,15,15,6,7
中山ダ1900,20,10,30,25,10,20,20,15,15,6,7
中山ダ2000,18,12,28,22,10,20,25,15,15,7,8
中山ダ2100,18,12,28,22,10,20,25,15,15,7,8
中山ダ2200,18,12,28,22,10,20,25,15,15,7,8
中山ダ2400,15,15,25,10,20,18,35,15,20,8,9
中山ダ2500,15,15,25,10,20,18,35,15,20,8,9
中山ダ2600,15,15,25,10,20,18,35,15,20,8,9
中山ダ3000,15,15,25,10,20,18,35,15,20,8,9
中山ダ3200,15,15,25,10,20,18,35,15,20,8,9
阪神芝1000,25,15,30,20,10,20,15,15,10,5,5
阪神芝1150,25,15,30,20,10,20,15,15,10,5,5
阪神芝1200,25,15,30,20,10,20,15,15,10,5,5
阪神芝1300,30,20,20,10,15,25,15,15,10,6,6
阪神芝1400,30,20,20,10,15,25,15,15,10,6,6
阪神芝1500,35,25,20,10,10,25,20,20,10,8,6
阪神芝1600,35,25,20,10,10,25,20,20,10,2,6
阪神芝1700,35,25,20,10,10,25,20,20,10,8,6
阪神芝1800,35,25,20,10,10,25,20,20,10,8,6
阪神芝1900,30,20,25,10,10,25,22,20,15,10,8
阪神芝2000,30,20,25,10,10,25,22,20,15,10,8
阪神芝2100,30,20,25,10,10,25,22,20,15,10,8
阪神芝2200,30,20,25,10,10,25,22,20,15,10,8
阪神芝2400,28,20,25,10,15,25,25,20,15,12,9
阪神芝2500,28,20,25,10,15,25,25,20,15,12,9
阪神芝2600,28,20,25,10,15,25,25,20,15,12,9
阪神芝3000,20,18,20,5,25,18,35,20,25,15,10
阪神芝3200,20,18,20,5,25,18,35,20,25,15,10
阪神ダ1000,10,5,35,35,5,15,20,15,10,3,5
阪神ダ1150,10,5,35,35,5,15,20,15,10,3,5
阪神ダ1200,10,5,35,35,5,15,20,15,10,0,1
阪神ダ1300,10,5,35,35,5,15,20,15,10,3,5
阪神ダ1400,15,10,30,25,10,20,20,15,10,4,6
阪神ダ1500,15,10,30,25,10,20,20,15,10,4,6
阪神ダ1600,15,10,30,25,10,20,20,15,10,4,6
阪神ダ1700,20,10,30,25,10,20,20,15,15,6,7
阪神ダ1800,20,10,30,25,10,20,20,15,15,6,7
阪神ダ1900,20,10,30,25,10,20,20,15,15,6,7
阪神ダ2000,18,12,28,22,10,20,25,15,15,7,8
阪神ダ2100,18,12,28,22,10,20,25,15,15,7,8
阪神ダ2200,18,12,28,22,10,20,25,15,15,7,8
阪神ダ2400,15,15,25,10,20,18,35,15,20,8,9
阪神ダ2500,15,15,25,10,20,18,35,15,20,8,9
阪神ダ2600,15,15,25,10,20,18,35,15,20,8,9
阪神ダ3000,15,15,25,10,20,18,35,15,20,8,9
阪神ダ3200,15,15,25,10,20,18,35,15,20,8,9
京都芝1000,25,15,30,20,10,20,15,15,10,5,5
京都芝1150,25,15,30,20,10,20,15,15,10,5,5
京都芝1200,25,15,30,20,10,20,15,15,10,5,5
京都芝1300,30,20,20,10,15,25,15,15,10,6,6
京都芝1400,30,20,20,10,15,25,15,15,10,6,6
京都芝1500,35,25,20,10,10,25,20,20,10,8,6
京都芝1600,35,25,20,10,10,25,20,20,10,8,6
京都芝1700,35,25,20,10,10,25,20,20,10,8,6
京都芝1800,35,25,20,10,10,25,20,20,10,8,6
京都芝1900,30,20,25,10,10,25,22,20,15,10,8
京都芝2000,30,20,25,10,10,25,22,20,15,10,8
京都芝2100,30,20,25,10,10,25,22,20,15,10,8
京都芝2200,30,20,25,10,10,25,22,20,15,10,8
京都芝2400,28,20,25,10,15,25,25,20,15,12,9
京都芝2500,28,20,25,10,15,25,25,20,15,12,9
京都芝2600,28,20,25,10,15,25,25,20,15,12,9
京都芝3000,20,18,20,5,25,18,35,20,25,15,10
京都芝3200,20,18,20,5,25,18,35,20,25,15,10
京都ダ1000,10,5,35,35,5,15,20,15,10,3,5
京都ダ1150,10,5,35,35,5,15,20,15,10,3,5
京都ダ1200,10,5,35,35,5,15,20,15,10,3,5
京都ダ1300,10,5,35,35,5,15,20,15,10,3,5
京都ダ1400,15,10,30,25,10,20,20,15,10,4,6
京都ダ1500,15,10,30,25,10,20,20,15,10,4,6
京都ダ1600,15,10,30,25,10,20,20,15,10,4,6
京都ダ1700,20,10,30,25,10,20,20,15,15,6,7
京都ダ1800,20,10,30,25,10,20,20,15,15,6,7
京都ダ1900,20,10,30,25,10,20,20,15,15,6,7
京都ダ2000,18,12,28,22,10,20,25,15,15,7,8
京都ダ2100,18,12,28,22,10,20,25,15,15,7,8
京都ダ2200,18,12,28,22,10,20,25,15,15,7,8
京都ダ2400,15,15,25,10,20,18,35,15,20,8,9
京都ダ2500,15,15,25,10,20,18,35,15,20,8,9
京都ダ2600,15,15,25,10,20,18,35,15,20,8,9
京都ダ3000,15,15,25,10,20,18,35,15,20,8,9
京都ダ3200,15,15,25,10,20,18,35,15,20,8,9
中京芝1000,25,15,30,20,10,20,15,15,10,5,5
中京芝1150,25,15,30,20,10,20,15,15,10,5,5
中京芝1200,25,15,30,20,10,20,15,15,10,5,5
中京芝1300,30,20,20,10,15,25,15,15,10,6,6
中京芝1400,30,20,20,10,15,25,15,15,10,6,6
中京芝1500,35,25,20,10,10,25,20,20,10,8,6
中京芝1600,35,25,20,10,10,25,20,20,10,8,6
中京芝1700,35,25,20,10,10,25,20,20,10,8,6
中京芝1800,35,25,20,10,10,25,20,20,10,8,6
中京芝1900,30,20,25,10,10,25,22,20,15,10,8
中京芝2000,30,20,25,10,10,25,22,20,15,10,8
中京芝2100,30,20,25,10,10,25,22,20,15,10,8
中京芝2200,30,20,25,10,10,25,22,20,15,10,8
中京芝2400,28,20,25,10,15,25,25,20,15,12,9
中京芝2500,28,20,25,10,15,25,25,20,15,12,9
中京芝2600,28,20,25,10,15,25,25,20,15,12,9
中京芝3000,20,18,20,5,25,18,35,20,25,15,10
中京芝3200,20,18,20,5,25,18,35,20,25,15,10
中京ダ1000,10,5,35,35,5,15,20,15,10,3,5
中京ダ1150,10,5,35,35,5,15,20,15,10,3,5
中京ダ1200,10,5,35,35,5,15,20,15,10,3,5
中京ダ1300,10,5,35,35,5,15,20,15,10,3,5
中京ダ1400,15,10,30,25,10,20,20,15,10,4,6
中京ダ1500,15,10,30,25,10,20,20,15,10,4,6
中京ダ1600,15,10,30,25,10,20,20,15,10,4,6
中京ダ1700,20,10,30,25,10,20,20,15,15,6,7
中京ダ1800,20,10,30,25,10,20,20,15,15,6,7
中京ダ1900,20,10,30,25,10,20,20,15,15,6,7
中京ダ2000,18,12,28,22,10,20,25,15,15,7,8
中京ダ2100,18,12,28,22,10,20,25,15,15,7,8
